State,Harris_Votes,Trump_Votes
Alabama,769391,1457704
Alaska,130763,175489
Arizona,1577729,1764862
Arkansas,396077,758393
California,8879713,5747751
Colorado,1727576,1377040
Connecticut,994736,740294
Delaware,289758,214351
Washington D.C.,286787,20659
Florida,4681631,6109882
Georgia,2548020,2663117
Hawaii,313044,193661
Idaho,274973,605246
Illinois,3013092,2427092
Indiana,1167394,1732910
Iowa,707266,926983
Kansas,531989,741464
Kentucky,700921,1336227
Louisiana,766870,1208505
Maine,426085,368247
Maryland,1801790,1010691
Massachusetts,2074200,1238649
Michigan,2734404,2814853
Minnesota,1656968,1519020
Mississippi,435965,716050
Missouri,1190806,1739020
Montana,231858,352018
Nebraska,361949,557156
Nevada,705197,751205
New Hampshire,418351,395397
New Jersey,2166604,1932143
New Mexico,478728,423328
New York,4386717,3462992
North Carolina,2714550,2898152
North Dakota,112088,246276
Ohio,2476226,3117435
Oklahoma,499599,1036213
Oregon,1216335,904571
Pennsylvania,3416084,3538854
Rhode Island,283726,214283
South Carolina,1028452,1483747
South Dakota,146859,272081
Tennessee,1055039,1964499
Texas,4813685,6378467
Utah,557646,874138
Vermont,235791,119395
Virginia,2334355,2073144
Washington,2221254,1505207
West Virginia,214309,533556
Wisconsin,1668082,1697769
Wyoming,69527,192633
