State,Candidate,Average_Percentage
AZ,Donald Trump,0.621953125
AZ,Kamala Harris,0.3754166666666667
CA,Donald Trump,0.021705729166666667
CA,Kamala Harris,0.9758307291666667
CO,Donald Trump,0.04261197916666667
CO,Kamala Harris,0.9558854166666667
FL,Donald Trump,0.8655989583333333
FL,Kamala Harris,0.13349479166666667
GA,Donald Trump,0.6142447916666667
GA,Kamala Harris,0.3840625
IN,Donald Trump,0.9695442708333333
IN,Kamala Harris,0.025947916666666668
MA,Donald Trump,0.01825
MA,Kamala Harris,0.9777786458333333
MD,Donald Trump,0.019669270833333332
MD,Kamala Harris,0.9753932291666667
ME,Donald Trump,0.12684895833333334
ME,Kamala Harris,0.8710416666666667
MI,Donald Trump,0.4253645833333333
MI,Kamala Harris,0.5720833333333334
MN,Donald Trump,0.08885416666666666
MN,Kamala Harris,0.9110416666666666
MO,Donald Trump,0.9760182291666667
MO,Kamala Harris,0.017588541666666666
MT,Donald Trump,0.9733307291666666
MT,Kamala Harris,0.0206875
NC,Donald Trump,0.6191666666666666
NC,Kamala Harris,0.3793489583333333
NE,Donald Trump,0.9732604166666666
NE,Kamala Harris,0.021348958333333334
NH,Donald Trump,0.159453125
NH,Kamala Harris,0.8388020833333333
NM,Donald Trump,0.09364583333333333
NM,Kamala Harris,0.9046354166666667
NV,Donald Trump,0.5257291666666667
NV,Kamala Harris,0.47106770833333333
NY,Donald Trump,0.029559895833333332
NY,Kamala Harris,0.969359375
OH,Donald Trump,0.9149739583333334
OH,Kamala Harris,0.080234375
PA,Donald Trump,0.515625
PA,Kamala Harris,0.4831770833333333
SC,Donald Trump,0.9690963541666666
SC,Kamala Harris,0.026049479166666667
TX,Donald Trump,0.8866927083333334
TX,Kamala Harris,0.11223958333333334
UT,Donald Trump,0.9688177083333334
UT,Kamala Harris,0.022291666666666668
VA,Donald Trump,0.14239583333333333
VA,Kamala Harris,0.85765625
WA,Donald Trump,0.022203125
WA,Kamala Harris,0.96928125
WI,Donald Trump,0.46447916666666667
WI,Kamala Harris,0.5322395833333333
